己方号码,截获时间,呼叫类型,对方号码,己方位置区,己方小区,错误,纬度,经度,精度半径,地址
1,2023-04-18 15:26:56,被叫,4,26786,117533890,无,30.066379,122.157768,200.0,浙江省舟山市定海区白泉镇兴泉路;电厂路与文化路路口东南286米
1,2023-04-08 19:17:23,主叫,4,26786,151176580,无,30.071767,122.164871,308.0,浙江省舟山市定海区白泉镇丰岛路;白泉大道与宝岛大道路口东北218米
1,2023-03-31 09:52:23,主叫,4,26786,16352,无,30.09461,122.21582,625.0,浙江省舟山市定海区新港九道;大成十一路与新港九道路口西南142米
1,2023-03-17 17:12:54,主叫,4,26786,215883079,无,30.056566,122.160949,233.0,浙江省舟山市定海区白泉镇平湖村;73省道与329国道路口东北875米
2,2023-03-08 23:02:42,主叫,4,26786,194262785,无,30.060729,122.16291,489.0,浙江省舟山市定海区白泉镇东宫桥;万毛线与73省道路口东387米
1,2023-04-14 15:12:00,被叫,4,26786,62371,无,30.09832,122.277366,558.0,浙江省舟山市普陀区展茅街道小坑
1,2023-05-05 10:42:22,主叫,4,58079,92305715,无查询结果,,,,
1,2023-04-11 09:31:47,主叫,3,26786,16271,无,30.089853,122.234046,994.0,浙江省舟山市定海区北蝉乡大园山
1,2023-04-16 11:25:12,被叫,3,22432,188498691,无,30.0645,121.980476,291.0,浙江省舟山市定海区岑港镇庙山头
1,2023-05-22 13:45:08,主叫,3,59333,213705543,无,30.089172,122.201393,105.0,浙江省舟山市定海区北蝉乡大成六路;大成六路与新港五道路口西南227米
